Name,Location,Level
Mewtwo,Nimbasa City,73
Persian,One Island,55
Horsea,Safari Zone Gate,76
Krabby,Slateport City,29
Hypno,Nacrene City,34
Ekans,Pacifidlog Town,92
Articuno,Pallet Town,35
Wartortle,Saffron City,32
Golbat,Cerulean City,98
Alakazam,Santalune City,85
Arcanine,Icirrus City,18
Voltorb,One Island,39
Golem,Cianwood City,35
Seel,Black City,68
Gengar,Violet City,99
Weezing,Six Island,45
Lickitung,Sandgem Town,89
Gengar,Fight Area,3
Farfetch'd,Undella Town,58
Fearow,Twinleaf Town,84
Raichu,Violet City,32
Venonat,Resort Area,58
Graveler,Lavender Town,24
Gyarados,Driftveil City,93
Weedle,Dewford Town,44
Venonat,Lavaridge Town,40
Parasect,Pastoria City,12
Raichu,Cyllage City,14
Electabuzz,Oldale Town,55
Diglett,Aspertia City,11
Meowth,Driftveil City,29
Sandslash,Opelucid City,20
Spearow,nil,7
Poliwhirl,Fortree City,26
Geodude,Fallarbor Town,71
Dratini,Cianwood City,50
Jynx,Aspertia City,42
Chansey,Two Island,62
Nidoking,Lumiose City,90
Wigglytuff,Opelucid City,65
Cloyster,Cerulean City,53
Weepinbell,Dewford Town,20
Nidoran,Cerulean City,69
Persian,Dendemille Town,42
Tauros,Oldale Town,2
Pikachu,Violet City,73
Clefable,Laverre City,29
Primeape,Driftveil City,3
Gastly,Pacifidlog Town,33
Marowak,Kiloude City,39
Flareon,Oreburgh City,97
Wigglytuff,Three Island,51
Machoke,Oldale Town,64
Weedle,Celestic Town,27
Dragonair,Laverre City,78
Zubat,Three Island,47
Staryu,Lilycove City,96
Meowth,Cerulean City,57
Moltres,Ambrette Town,26
Venomoth,Sunyshore City,93
Flareon,Petalburg City,53
Rapidash,Eterna City,50
Zapdos,Kiloude City,98
Bulbasaur,Black City,58
Alakazam,Vaniville Town,51
Kadabra,Solaceon Town,69
Rhyhorn,Mahogany Town,35
Tentacool,Santalune City,51
Electabuzz,Jubilife City,9
Starmie,Snowpoint City,21
Beedrill,Cianwood City,71
Vaporeon,Vermilion City,37
Omastar,Three Island,75
Shellder,Lilycove City,54
Vulpix,Castelia City,88
Psyduck,Undella Town,62
Voltorb,Cinnabar Island,64
Poliwhirl,Slateport City,35
Hitmonchan,Frontier Access,97
Fearow,Santalune City,59
Meowth,New Bark Town,6
Pikachu,Cherrygrove City,43
Drowzee,Black City,8
Omastar,Petalburg City,98
Voltorb,Pacifidlog Town,86
Dugtrio,Aquacorde Town,45
Staryu,Lilycove City,47
Seel,Pallet Town,34
Zubat,Two Island,8
Chansey,Two Island,23
Eevee,Cherrygrove City,20
Krabby,Vaniville Town,35
Pidgeot,Hearthome City,15
Growlithe,Pacifidlog Town,83
Wigglytuff,Snowbelle City,55
Dodrio,Ecruteak City,20
Marowak,Pallet Town,58
Nidoran,Fallarbor Town,58
Wartortle,Lavender Town,87
Porygon,Lavender Town,28
Rapidash,New Bark Town,27
Victreebel,Driftveil City,78
Weepinbell,Mahogany Town,2
Clefable,Aquacorde Town,16
Dragonair,Olivine City,41
Weedle,Petalburg City,61
Tentacruel,nil,72
Poliwhirl,Mauville City,51
Rhydon,Opelucid City,71
Moltres,Virbank City,20
Vulpix,Fuchsia City,42
Marowak,Oreburgh City,34
Drowzee,Nuvema Town,87
Venonat,Nuvema Town,1
Horsea,Geosenge Town,22
Squirtle,Santalune City,25
Spearow,Solaceon Town,11
Raichu,Anistar City,95
Seaking,Two Island,51
Grimer,Kiloude City,9
Snorlax,Ambrette Town,98
Marowak,Pastoria City,54
Arbok,Littleroot Town,39
Magnemite,Canalave City,11
Tentacruel,Black City,98
Poliwrath,Lavender Town,22
Alakazam,Couriway Town,47
Ivysaur,Safari Zone Gate,12
Seel,Striaton City,6
Arcanine,Vaniville Town,92
Poliwag,Violet City,96
Golbat,nil,15
Nidorino,Anistar City,90
Ivysaur,Two Island,43
Chansey,Accumula Town,16
Machop,Humilau City,76
Primeape,Geosenge Town,16
Goldeen,Striaton City,34
Bulbasaur,Mauville City,26
Gloom,Fight Area,95
Pidgeotto,Canalave City,47
Wartortle,Nuvema Town,91
Grimer,Ecruteak City,15
Venomoth,Pallet Town,87
Growlithe,Cinnabar Island,87
Krabby,Olivine City,6
Magikarp,Pastoria City,72
Vaporeon,Oreburgh City,80
Paras,Ecruteak City,66
Pikachu,Kiloude City,59
Scyther,Three Island,54
Weepinbell,Vaniville Town,83
Machoke,Lentimas Town,94
Fearow,Slateport City,67
Hypno,Canalave City,95
Beedrill,Verdanturf Town,97
Nidorina,Ambrette Town,57
Kakuna,Sandgem Town,13
Goldeen,Veilstone City,63
Vulpix,Couriway Town,21
Porygon,Seven Island,43
Caterpie,Pacifidlog Town,29
Raticate,Lumiose City,79
Mewtwo,Opelucid City,94
Gyarados,Viridian City,11
Hypno,Camphrier Town,48
Psyduck,Sandgem Town,80
Paras,Oldale Town,94
Articuno,Shalour City,24
Kakuna,Fallarbor Town,53
Gastly,Cerulean City,28
Kadabra,Dendemille Town,69
Rhydon,Lavaridge Town,15
Muk,Petalburg City,76
Gloom,Anistar City,68
Lapras,Fortree City,37
Magneton,Pallet Town,47
Nidorina,Goldenrod City,84
Gengar,Rustboro City,90
Hitmonchan,Verdanturf Town,21
Gloom,Four Island,24
Starmie,Safari Zone Gate,51
Eevee,Kiloude City,81
Onix,Lumiose City,98
Dragonite,Hearthome City,49
Chansey,Lavaridge Town,85
Ditto,Cherrygrove City,52
Gyarados,Ecruteak City,50
Koffing,Twinleaf Town,49
Cloyster,Lilycove City,69
Ekans,Black City,19
Grimer,Oreburgh City,45
Venonat,Twinleaf Town,64
Cloyster,Camphrier Town,16
Krabby,Seven Island,83
Pidgeot,Three Island,88
Hitmonchan,Striaton City,49
Ditto,Mossdeep City,97
Pikachu,Fallarbor Town,90
Dragonair,Pallet Town,47
Tentacool,nil,71
Aerodactyl,Santalune City,84
Golbat,Castelia City,36
Omastar,Seven Island,84
Raichu,Pastoria City,72
Weepinbell,Coumarine City,40
Nidorina,Saffron City,39
Pidgey,Ever Grande City,47
Ditto,Olivine City,14
Magikarp,Celestic Town,81
Sandslash,Verdanturf Town,9
Exeggutor,nil,34
Nidoran,Pastoria City,23
Exeggcute,Accumula Town,41
Pidgeotto,Frontier Access,39
Machamp,Sunyshore City,9
Jolteon,Kiloude City,97
Zapdos,Survival Area,87
Dragonair,Ecruteak City,71
Raticate,Azalea Town,62
Clefairy,Lumiose City,74
Dugtrio,Icirrus City,97
Kadabra,Survival Area,59
Vulpix,Saffron City,62
Articuno,Nuvema Town,69
Muk,Five Island,3
Farfetch'd,Icirrus City,86
Raticate,Oldale Town,26
Kabuto,Violet City,43
Muk,Nacrene City,63
Ninetales,Sootopolis City,95
Oddish,Pewter City,85
Marowak,Verdanturf Town,22
Kingler,Goldenrod City,20
Flareon,Anville Town,97
Dodrio,Vermilion City,18
Diglett,Lavaridge Town,74
Lapras,Safari Zone Gate,44
Magmar,Blackthorn City,69
Horsea,Verdanturf Town,88
Cubone,Aquacorde Town,58
Gloom,Ecruteak City,68
Machoke,New Bark Town,53
Machop,Cyllage City,44
Doduo,One Island,62
Flareon,Opelucid City,7
Nidorina,Six Island,94
Gyarados,Fight Area,60
Rhydon,Nimbasa City,94
Wartortle,Littleroot Town,65
Oddish,Canalave City,43
Chansey,Rustboro City,11
Bellsprout,Five Island,8
Weepinbell,Resort Area,2
Seaking,Cianwood City,77
Bulbasaur,Black City,61
Horsea,Frontier Access,23
Caterpie,Castelia City,26
Growlithe,Sunyshore City,89
Cubone,Oldale Town,96
Dewgong,Fight Area,6
Ponyta,Cerulean City,22
Golem,Sootopolis City,10
Lapras,Dendemille Town,16
Onix,Anistar City,36
Arcanine,Cinnabar Island,89
Victreebel,Azalea Town,81
Haunter,Seven Island,28
Psyduck,Canalave City,64
Hitmonlee,Safari Zone Gate,36
Charmeleon,Pacifidlog Town,3
Squirtle,Fuchsia City,48
Porygon,Eterna City,73
Lapras,Floccesy Town,10
Exeggutor,Shalour City,67
Lickitung,Pacifidlog Town,24
Kabuto,Vermilion City,26
Tentacool,Jubilife City,14
Abra,Frontier Access,40
Kadabra,Santalune City,95
Snorlax,White Forest,83
Pinsir,Azalea Town,75
Seaking,Sootopolis City,35
Porygon,Cianwood City,50
Graveler,Mahogany Town,87
Dragonite,Snowpoint City,89
Venusaur,Eterna City,2
Dragonite,Sandgem Town,4
Weezing,Vermilion City,78
Zubat,Blackthorn City,13
Nidoqueen,Oldale Town,78
Moltres,Two Island,63
Clefairy,Jubilife City,44
Kangaskhan,Three Island,27
Hypno,Lacunosa Town,66
Eevee,Fuchsia City,39
Staryu,Saffron City,75
Charmeleon,Anville Town,72
Kadabra,Fallarbor Town,68
Clefable,Veilstone City,35
Nidorina,Shalour City,59
Eevee,Mauville City,38
Hitmonlee,Resort Area,60
Nidoran,Pastoria City,78
Electrode,Undella Town,26
Drowzee,Mahogany Town,56
Nidoran,Survival Area,13
Magneton,Lavaridge Town,22
Nidorino,Lumiose City,31
Pikachu,Four Island,86
Charizard,Olivine City,97
Zapdos,Veilstone City,66
Poliwag,Azalea Town,15
Clefairy,Pacifidlog Town,57
Onix,Icirrus City,78
Metapod,Cianwood City,48
Kadabra,Castelia City,79
Onix,Safari Zone Gate,25
Dragonite,Anistar City,96
Golduck,Laverre City,11
Venomoth,Shalour City,48
Nidoqueen,Accumula Town,68
Primeape,Floccesy Town,47
Electabuzz,Anistar City,89
Shellder,Pacifidlog Town,79
Metapod,White Forest,33
Gengar,Black City,51
Koffing,Cianwood City,55
Horsea,Ambrette Town,17
Mewtwo,Geosenge Town,72
Nidorina,Oreburgh City,43
Jigglypuff,Laverre City,48
Snorlax,Mahogany Town,17
Machoke,Rustboro City,64
Seaking,Littleroot Town,10
Metapod,Oldale Town,61
Hypno,Black City,32
Kadabra,Mahogany Town,30
Weedle,Azalea Town,11
Aerodactyl,Floccesy Town,12
Ekans,Lilycove City,92
Dodrio,Dendemille Town,95
Poliwhirl,Driftveil City,90
Omastar,Hearthome City,69
Alakazam,Shalour City,13
Golbat,Vermilion City,21
Gyarados,White Forest,76
Parasect,Striaton City,25
Goldeen,Snowbelle City,61
Caterpie,Sandgem Town,24
Chansey,Mossdeep City,71
Seaking,Littleroot Town,62
Tentacruel,Solaceon Town,87
Muk,Resort Area,8
Rhydon,Aspertia City,44
Tentacruel,Oldale Town,12
Grimer,Oldale Town,12
Zapdos,Cinnabar Island,73
Venusaur,Mauville City,72
Jolteon,Pallet Town,29
Hitmonlee,Lentimas Town,31
Jynx,Cianwood City,54
Machoke,Survival Area,61
Lapras,Floaroma Town,50
Clefable,Resort Area,84
Kabuto,Cerulean City,28
Electabuzz,Safari Zone Gate,25
Tauros,Nacrene City,38
Mewtwo,Camphrier Town,5
Porygon,Pastoria City,89
Magneton,Littleroot Town,99
Seel,Lumiose City,50
Charmeleon,Slateport City,63
Weepinbell,Coumarine City,76
Aerodactyl,Pastoria City,19
Lapras,Kiloude City,27
Slowpoke,Hearthome City,63
Caterpie,One Island,58
Drowzee,Humilau City,21
Pikachu,Cianwood City,68
Omastar,Verdanturf Town,30
Victreebel,Kiloude City,78
Tentacruel,Opelucid City,89
Goldeen,White Forest,99
Nidorino,Safari Zone Gate,36
Onix,Santalune City,63
Seadra,Solaceon Town,97
Pinsir,Cianwood City,73
Vulpix,Violet City,68
Hypno,Oldale Town,45
Vulpix,Cherrygrove City,23
Hypno,Veilstone City,38
Hitmonlee,Sootopolis City,72
Haunter,Sandgem Town,54
Beedrill,Olivine City,67
Arbok,New Bark Town,6
Seadra,Ever Grande City,58
Victreebel,Oreburgh City,45
Hypno,Survival Area,83
Arcanine,Mauville City,62
Metapod,Striaton City,51
Articuno,Verdanturf Town,80
Caterpie,Lentimas Town,57
Rapidash,Two Island,96
Venusaur,Pallet Town,64
Machop,Floccesy Town,24
Kabutops,Solaceon Town,23
Rapidash,Aspertia City,70
Jynx,Canalave City,47
Hitmonchan,Cerulean City,36
Cubone,Humilau City,43
Zapdos,Blackthorn City,40
Rapidash,Pallet Town,12
Squirtle,Oreburgh City,52
Shellder,Cyllage City,20
Jolteon,One Island,93
Gyarados,Kiloude City,37
Lickitung,Celestic Town,49
Venusaur,Sandgem Town,78
Cubone,Humilau City,68
Vileplume,Celadon City,54
Butterfree,Lavaridge Town,93
Starmie,Pastoria City,92
Slowpoke,Castelia City,66
Jigglypuff,Littleroot Town,24
Raichu,Vermilion City,52
Staryu,Mistralton City,96
Cubone,Celestic Town,24
Tauros,Littleroot Town,72
Dodrio,Mauville City,32
Sandslash,Geosenge Town,25
Pikachu,Cerulean City,11
Marowak,Twinleaf Town,75
Articuno,Resort Area,77
Rhydon,Verdanturf Town,8
Machoke,Black City,12
Dugtrio,Eterna City,77
Fearow,Floccesy Town,13
Paras,Cinnabar Island,83
Machoke,New Bark Town,48
Poliwhirl,Lentimas Town,18
Nidorino,Pacifidlog Town,12
Dewgong,Shalour City,33
Sandslash,Nuvema Town,41
Rhyhorn,Mahogany Town,36
Dugtrio,Mistralton City,5
Dratini,Ambrette Town,33
Horsea,Geosenge Town,12
Seaking,Olivine City,1
Farfetch'd,Floaroma Town,23
Clefairy,Pewter City,79
Geodude,Driftveil City,43
Graveler,Shalour City,57
Omastar,Santalune City,30
Rhydon,Viridian City,55
Dragonite,Cherrygrove City,68
Victreebel,Cherrygrove City,33
Lickitung,Lacunosa Town,66
Exeggutor,Survival Area,3
Machoke,Veilstone City,66
Kabutops,Violet City,67
Golbat,Fortree City,23
Psyduck,Lilycove City,3
Venusaur,Twinleaf Town,41
Butterfree,Celestic Town,16
Sandshrew,Castelia City,45
Dugtrio,Anville Town,63
Poliwhirl,Dendemille Town,12
Zubat,Coumarine City,28
Aerodactyl,Snowbelle City,12
Paras,Four Island,13
Pidgeot,Lavender Town,2
Rhyhorn,Ambrette Town,20
Machop,Lacunosa Town,75
Ivysaur,Cyllage City,42
Onix,Snowbelle City,56
Clefairy,White Forest,16
Nidoran,Rustboro City,31
Magikarp,Striaton City,21
Geodude,Slateport City,8
Pidgey,New Bark Town,15
Rapidash,Nacrene City,26
Lickitung,Goldenrod City,8
Paras,Mauville City,18
Magnemite,Oreburgh City,48
Machamp,Eterna City,88
Sandslash,Fallarbor Town,48
Jigglypuff,Cyllage City,39
Ponyta,Undella Town,10
Abra,Striaton City,72
Magikarp,Littleroot Town,34
Cubone,Lentimas Town,79
Hypno,Eterna City,79
Machop,Eterna City,81
Primeape,Pallet Town,96
Snorlax,Littleroot Town,21
Magmar,Two Island,31
Electrode,Pewter City,89
Hitmonlee,Jubilife City,72
Clefable,Cherrygrove City,68
Lapras,Shalour City,33
Nidorina,Snowbelle City,6
Sandshrew,Five Island,6
Eevee,Lilycove City,95
Wigglytuff,Five Island,71
Gastly,Fortree City,91
Articuno,Celestic Town,8
Wigglytuff,Couriway Town,58
Omastar,Mahogany Town,80
Vaporeon,Eterna City,86
Gastly,Sootopolis City,99
Arbok,Sootopolis City,31
Metapod,Laverre City,62
Rattata,Sandgem Town,75
Grimer,Ever Grande City,2
Victreebel,Floaroma Town,7
Vileplume,Mauville City,37
Vaporeon,Mossdeep City,66
Starmie,Santalune City,58
Slowbro,Floaroma Town,76
Paras,Undella Town,52
Tentacool,Survival Area,28
Ekans,Twinleaf Town,75
Blastoise,Nuvema Town,28
Arcanine,Fallarbor Town,72
Hypno,Lavender Town,81
Spearow,White Forest,96
Spearow,Celadon City,97
Tentacool,Dewford Town,11
Poliwrath,Dendemille Town,4
Jolteon,Lacunosa Town,10
Ninetales,Celadon City,67
Dratini,Azalea Town,51
Grimer,Nacrene City,83
Grimer,Verdanturf Town,54
Poliwrath,Driftveil City,84
Omanyte,Aquacorde Town,60
Butterfree,Nimbasa City,27
Metapod,Olivine City,62
Krabby,Seven Island,71
Kabutops,One Island,85
Ninetales,Anville Town,31
Doduo,Aquacorde Town,22
Dodrio,Humilau City,31
Caterpie,Celestic Town,48
Cloyster,Cerulean City,75
Beedrill,Goldenrod City,67
Staryu,Fight Area,22
Koffing,Four Island,36
Magikarp,Slateport City,43
Poliwhirl,Undella Town,57
Rapidash,Snowpoint City,61
Kabuto,Verdanturf Town,12
Voltorb,nil,7
Nidoran,Humilau City,47
Kabuto,Aspertia City,19
Hitmonlee,Fight Area,6
Grimer,Pewter City,7
Hitmonchan,Lilycove City,69
Pidgey,Survival Area,40
Spearow,Three Island,61
Rhydon,Anistar City,6
Doduo,Seven Island,25
Exeggutor,Snowbelle City,91
Aerodactyl,Sootopolis City,12
Wigglytuff,Vaniville Town,30
Bulbasaur,Sandgem Town,38
Doduo,Six Island,34
Shellder,Aquacorde Town,99
Dratini,Couriway Town,91
Caterpie,Goldenrod City,63
Seadra,Camphrier Town,4
Blastoise,Sootopolis City,86
Squirtle,Floaroma Town,75
Pidgey,Couriway Town,29
Jynx,Goldenrod City,33
Arcanine,Dewford Town,32
Snorlax,Verdanturf Town,4
Victreebel,Safari Zone Gate,22
Farfetch'd,Solaceon Town,68
Persian,Survival Area,51
Ponyta,Laverre City,70
Geodude,Pewter City,12
Charmander,Nuvema Town,61
Dodrio,Mistralton City,89
Rattata,Goldenrod City,65
Gloom,Snowbelle City,9
Squirtle,White Forest,54
Dugtrio,Nacrene City,44
Cubone,Mossdeep City,14
Blastoise,Dendemille Town,57
Snorlax,Cinnabar Island,97
Dratini,Six Island,42
Charmeleon,One Island,58
Ditto,Cinnabar Island,14
Weezing,Six Island,10
Pidgeot,Hearthome City,50
Ivysaur,Driftveil City,43
Aerodactyl,Cyllage City,88
Weedle,Ambrette Town,65
Tauros,Celestic Town,84
Kakuna,Violet City,95
Zapdos,Petalburg City,56
Rattata,Aquacorde Town,96
Vileplume,Violet City,85
Clefable,Anville Town,78
Moltres,Fortree City,81
Rhydon,Snowpoint City,77
Slowbro,Santalune City,55
Raichu,Lentimas Town,95
Rattata,Ever Grande City,75
Abra,Eterna City,12
Hypno,Camphrier Town,93
Persian,Canalave City,95
Zubat,Shalour City,14
Clefairy,Lumiose City,33
Kangaskhan,Three Island,30
Jigglypuff,Accumula Town,51
Golduck,Dewford Town,2
Flareon,Sandgem Town,87
Venusaur,Humilau City,38
Victreebel,Nacrene City,9
Exeggcute,Lavender Town,2
Cloyster,Undella Town,19
Horsea,Petalburg City,37
Machoke,Seven Island,89
Lapras,Nuvema Town,80
Farfetch'd,Kiloude City,60
Golduck,Anville Town,42
Squirtle,Fuchsia City,18
Ekans,Pallet Town,94
Omanyte,Fallarbor Town,26
Machamp,Fallarbor Town,44
Charizard,Oreburgh City,81
Victreebel,Frontier Access,15
Magneton,Pacifidlog Town,51
Venomoth,Solaceon Town,83
Charmeleon,Violet City,19
Nidoran,Snowpoint City,72
Magmar,Oldale Town,56
Diglett,Mahogany Town,63
Tentacruel,Fuchsia City,77
Poliwag,Sandgem Town,52
Starmie,Oldale Town,7
Mr.,Lumiose City,55
Dragonite,Mauville City,39
Arbok,Celestic Town,98
Dragonair,Solaceon Town,48
Zubat,Oldale Town,23
Mr.,Lumiose City,44
Shellder,Opelucid City,22
Golbat,Shalour City,52
Growlithe,Fallarbor Town,73
Machamp,Mossdeep City,85
Oddish,Cianwood City,30
Beedrill,Driftveil City,2
Rattata,Solaceon Town,72
Porygon,Cianwood City,79
Nidoran,Canalave City,24
Kadabra,Dewford Town,48
Seel,Humilau City,94
Kingler,Dendemille Town,37
Magikarp,Hearthome City,53
Venonat,Viridian City,39
Ninetales,Opelucid City,52
Machamp,Oldale Town,73
Golem,Survival Area,99
Tentacool,Lavaridge Town,47
Pinsir,Celadon City,75
Caterpie,Canalave City,70
Kadabra,Floccesy Town,25
Dragonite,Icirrus City,61
Machoke,Sunyshore City,52
Moltres,Camphrier Town,32
Ditto,Safari Zone Gate,78
Exeggutor,New Bark Town,55
Pidgeotto,Oldale Town,23
Victreebel,Lacunosa Town,75
Weepinbell,Ecruteak City,86
Rhyhorn,Four Island,78
Metapod,Slateport City,46
Pikachu,Solaceon Town,67
Psyduck,Camphrier Town,41
Nidorina,Anistar City,34
Clefable,Vermilion City,25
Poliwrath,Blackthorn City,57
Paras,Virbank City,94
Rapidash,Mauville City,94
Slowpoke,Fight Area,50
Exeggcute,Dendemille Town,39
Dragonair,Cerulean City,94
Jynx,Driftveil City,81
Ditto,Mahogany Town,83
Nidorino,Vaniville Town,75
Clefable,Ambrette Town,49
Tentacruel,Blackthorn City,3
Gyarados,Nimbasa City,23
Magneton,Fallarbor Town,82
Shellder,Lacunosa Town,51
Marowak,Shalour City,56
Tangela,Vaniville Town,99
Dratini,Santalune City,95
Slowpoke,Survival Area,39
Poliwrath,Coumarine City,69
Alakazam,Lavaridge Town,61
Scyther,Shalour City,49
Nidoking,Sunyshore City,45
Omastar,Saffron City,32
Pidgeot,Mauville City,95
Paras,Verdanturf Town,18
Doduo,Pastoria City,11
Porygon,Mossdeep City,31
Scyther,Eterna City,69
Bulbasaur,Solaceon Town,55
Oddish,Hearthome City,45
Mewtwo,Kiloude City,63
Vileplume,Camphrier Town,11
Hypno,Cianwood City,51
Rhydon,Goldenrod City,83
Shellder,Two Island,39
Slowpoke,Canalave City,72
Hypno,Santalune City,6
Tentacruel,Nacrene City,33
Vaporeon,Ambrette Town,54
Kakuna,Opelucid City,33
Mankey,Pewter City,21
Tangela,Snowbelle City,10
Rhyhorn,Couriway Town,67
Rhyhorn,Nimbasa City,87
Vaporeon,Santalune City,92
Dragonite,Santalune City,52
Nidoran,Pastoria City,87
Kadabra,Floccesy Town,12
Fearow,Pacifidlog Town,99
Alakazam,Cyllage City,63
Abra,Floaroma Town,2
Tangela,Cianwood City,8
Magmar,nil,23
Clefable,Santalune City,90
Nidoran,nil,44
Omanyte,Snowbelle City,52
Koffing,Cerulean City,77
Horsea,Santalune City,67
Rhyhorn,Dendemille Town,15
Golbat,Lacunosa Town,24
Arcanine,Oldale Town,71
Poliwag,Camphrier Town,81
Caterpie,Fight Area,34
Venusaur,Seven Island,62
Charmeleon,Humilau City,76
Hitmonlee,Opelucid City,9
Hypno,Sandgem Town,50
Tauros,Snowbelle City,99
Scyther,Cherrygrove City,80
Tentacruel,Pewter City,99
Dragonair,Violet City,16
Dragonite,Olivine City,16
Jolteon,Floaroma Town,91
Hypno,Snowbelle City,40
Staryu,Solaceon Town,94
Kangaskhan,Floaroma Town,44
Magnemite,White Forest,2
Exeggcute,Seven Island,21
Vulpix,Geosenge Town,35
Abra,Pastoria City,6
Poliwhirl,Solaceon Town,19
Electabuzz,Fight Area,69
Lickitung,Ambrette Town,21
Poliwrath,Floccesy Town,24
Magneton,Seven Island,35
Growlithe,Mahogany Town,44
Venusaur,Cherrygrove City,77
Spearow,Saffron City,3
Starmie,Humilau City,75
Magmar,Survival Area,31
Doduo,Violet City,29
Raticate,Canalave City,71
Ninetales,Pacifidlog Town,8
Marowak,Mauville City,6
Golbat,Black City,45
Exeggcute,Driftveil City,30
Poliwhirl,Viridian City,70
Weepinbell,Six Island,43
Eevee,Frontier Access,73
Beedrill,Slateport City,99
Goldeen,Accumula Town,85
Pidgey,Camphrier Town,20
Koffing,Seven Island,63
Slowpoke,Lentimas Town,7
Haunter,Mossdeep City,59
Kangaskhan,Ever Grande City,75
Beedrill,Castelia City,93
Pidgey,Survival Area,38
Vaporeon,Kiloude City,19
Eevee,Pastoria City,38
Rattata,Three Island,32
Chansey,Anistar City,65
Charmander,Couriway Town,17
Staryu,Mistralton City,5
Snorlax,Fallarbor Town,30
Aerodactyl,Jubilife City,84
Gengar,Shalour City,67
Rattata,Floaroma Town,1
Alakazam,Ambrette Town,3
Vaporeon,Fight Area,62
Starmie,Lavaridge Town,44
Magneton,Six Island,72
Cloyster,Twinleaf Town,69
Psyduck,Opelucid City,87
Wigglytuff,Aspertia City,5
Farfetch'd,Cianwood City,15
Moltres,Cianwood City,85
Magikarp,Two Island,46
Eevee,Laverre City,72
Electrode,Santalune City,90
Rattata,Pallet Town,8
Eevee,Five Island,13
Electrode,Lentimas Town,36
Koffing,nil,69
Geodude,Seven Island,24
Nidorino,Vaniville Town,94
Charmeleon,Four Island,20
Geodude,Vaniville Town,9
Omanyte,Anistar City,99
Wartortle,Anville Town,39
Tentacool,Vaniville Town,39
Seadra,New Bark Town,4
Ninetales,Cianwood City,22
Nidoran,Black City,12
Wigglytuff,Cinnabar Island,4
Diglett,Celestic Town,51
Bellsprout,Canalave City,1
Kabuto,Vaniville Town,62
Tangela,Survival Area,62
Zapdos,Dewford Town,63
Gloom,Camphrier Town,68
Electabuzz,Undella Town,3
Bellsprout,Survival Area,10
Vileplume,Camphrier Town,26
Vaporeon,Canalave City,87
Gastly,Lilycove City,1
Eevee,Three Island,28
Koffing,Laverre City,98
Caterpie,Fight Area,98
Electabuzz,Five Island,30
Seel,Littleroot Town,10
Jigglypuff,Lavender Town,37
Electabuzz,Vaniville Town,13
Bulbasaur,Mahogany Town,70
Nidoking,Dendemille Town,12
Kabutops,Lentimas Town,98
Seaking,Virbank City,20
Ditto,Coumarine City,7
Magnemite,Couriway Town,10
Shellder,Laverre City,26
Magneton,Cianwood City,31
Sandslash,Sandgem Town,35
Charizard,Veilstone City,54
Poliwag,Fallarbor Town,53
Rhyhorn,Oldale Town,28
Arbok,Jubilife City,15
Weezing,Fight Area,90
Pinsir,Oldale Town,52
Arcanine,Three Island,8
Beedrill,Floaroma Town,86
Tangela,Sandgem Town,87
Doduo,Cinnabar Island,19
Pinsir,Viridian City,36
Porygon,Safari Zone Gate,12
Graveler,White Forest,39
Nidoqueen,Mossdeep City,20
Omanyte,Dendemille Town,83
Nidorino,Fortree City,66
Doduo,Ever Grande City,62
Moltres,Fallarbor Town,87
Pinsir,Cinnabar Island,45
Cubone,Mahogany Town,44
Sandslash,Aspertia City,38
Charmeleon,Humilau City,11
Seaking,Black City,6
Growlithe,Lentimas Town,11
Omanyte,Lilycove City,12
Bulbasaur,Six Island,21
Blastoise,Blackthorn City,94
Hitmonlee,Floccesy Town,94
Weepinbell,Lavender Town,8
Shellder,Blackthorn City,90
Nidorina,Lilycove City,46
Meowth,Mahogany Town,85
Oddish,Solaceon Town,10
Wigglytuff,Celestic Town,40
Arcanine,Rustboro City,26
Muk,Pastoria City,39
Nidoking,Cerulean City,20
Alakazam,Fallarbor Town,92
Victreebel,Resort Area,73
Farfetch'd,Pallet Town,23
Kabuto,Fuchsia City,49
Paras,Lumiose City,29
Magnemite,Mossdeep City,63
Jolteon,Twinleaf Town,51
Rhyhorn,Humilau City,76
Starmie,Six Island,92
Farfetch'd,Cerulean City,67
Dugtrio,Mistralton City,48
Omastar,Cerulean City,29
Nidoran,Sandgem Town,51
Omastar,Mauville City,54
Ponyta,Fuchsia City,23
Oddish,Ever Grande City,37
Vileplume,Safari Zone Gate,30
Drowzee,Nimbasa City,86
Clefairy,Safari Zone Gate,39
Machoke,Dendemille Town,90
Rattata,Ambrette Town,79
Sandshrew,Opelucid City,62
Nidoran,Cyllage City,72
Golduck,Two Island,76
Kabuto,Verdanturf Town,20
Hypno,Petalburg City,78
Ponyta,Survival Area,81
Slowbro,Driftveil City,51
Snorlax,Pacifidlog Town,72
Clefable,Twinleaf Town,89
Goldeen,Rustboro City,40
Nidoking,Survival Area,7
Wigglytuff,Vermilion City,16
Growlithe,Ecruteak City,48
Machop,Aspertia City,58
Parasect,Oreburgh City,81
Bulbasaur,Ever Grande City,64
Alakazam,Opelucid City,34
Chansey,Slateport City,25
Tentacool,Veilstone City,94
Squirtle,Black City,69
Dragonite,Olivine City,64
Omastar,Three Island,67
Poliwrath,Nimbasa City,99
Victreebel,Fallarbor Town,71
Nidoran,Lavender Town,79
Staryu,Three Island,66
Oddish,Fuchsia City,19
Seaking,Opelucid City,29
Aerodactyl,Fallarbor Town,33
Poliwhirl,Nimbasa City,50
